247.58	244.61	226.02
106.73	104.08	95.347
229.7	244.57	236.88
155.94	136.19	166.8
203.45	182.07	212.63
190.75	180.71	136.88
1407.6	1383.3	1394
106.05	97.923	84.059
7114.8	7547.2	6783.4
139.33	158.61	146.17
491.61	360	401.72
274.12	287.85	235.94
338.13	284.83	279.95
645.31	693.82	597.32
2777.6	3017	2831.2
161.96	152.6	176.28
562.77	595.05	604.75
157.8	132.97	138.88
204.4	194.82	187.25
120.81	109.5	106.2
726.95	857.05	747.36
2043.6	1909	1903.7
1265.2	1371.8	1173.9
230.26	215.06	189.82
110.16	137.41	155.25
